TimeStamp,ResourceType,ResourceID,Effectiveness,Percentage,Compliant,Error,Condition,Path
09-Aug-22,Cloud Storage,Data Scenarios,Cost,34,,,,
10-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
11-Aug-22,Cloud Storage,Data Scenarios,Cost,31,,,,
12-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
13-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
14-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
15-Aug-22,Cloud Storage,Data Scenarios,Cost,32,,,,
16-Aug-22,Cloud Storage,Data Scenarios,Cost,36,,,,
17-Aug-22,Cloud Storage,Data Scenarios,Cost,39,,,,
18-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
19-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
20-Aug-22,Cloud Storage,Data Scenarios,Cost,37,,,,
21-Aug-22,Cloud Storage,Data Scenarios,Cost,40,,,,
22-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
23-Aug-22,Cloud Storage,Data Scenarios,Cost,35,,,,
24-Aug-22,Cloud Storage,Data Scenarios,Cost,38,,,,
25-Aug-22,Cloud Storage,Data Scenarios,Cost,32,,,,
26-Aug-22,Cloud Storage,Data Scenarios,Cost,40,,,,
27-Aug-22,Cloud Storage,Data Scenarios,Cost,36,,,,
28-Aug-22,Cloud Storage,Data Scenarios,Cost,34,,,,
29-Aug-22,Cloud Storage,Data Scenarios,Cost,33,,,,
30-Aug-22,Cloud Storage,Data Scenarios,Cost,34,,,,
31-Aug-22,Cloud Storage,Data Scenarios,Cost,30,,,,
01-Sep-22,Cloud Storage,Data Scenarios,Cost,30,,,,
02-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
03-Sep-22,Cloud Storage,Data Scenarios,Cost,38,,,,
04-Sep-22,Cloud Storage,Data Scenarios,Cost,31,,,,
05-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
06-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
07-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
08-Sep-22,Cloud Storage,Data Scenarios,Cost,37,,,,
09-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
10-Sep-22,Cloud Storage,Data Scenarios,Cost,39,,,,
11-Sep-22,Cloud Storage,Data Scenarios,Cost,37,,,,
12-Sep-22,Cloud Storage,Data Scenarios,Cost,38,,,,
13-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
14-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
15-Sep-22,Cloud Storage,Data Scenarios,Cost,31,,,,
16-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
17-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
18-Sep-22,Cloud Storage,Data Scenarios,Cost,35,,,,
19-Sep-22,Cloud Storage,Data Scenarios,Cost,36,,,,
20-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
21-Sep-22,Cloud Storage,Data Scenarios,Cost,40,,,,
22-Sep-22,Cloud Storage,Data Scenarios,Cost,36,,,,
23-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
24-Sep-22,Cloud Storage,Data Scenarios,Cost,33,,,,
25-Sep-22,Cloud Storage,Data Scenarios,Cost,33,,,,
26-Sep-22,Cloud Storage,Data Scenarios,Cost,39,,,,
27-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
28-Sep-22,Cloud Storage,Data Scenarios,Cost,31,,,,
29-Sep-22,Cloud Storage,Data Scenarios,Cost,32,,,,
30-Sep-22,Cloud Storage,Data Scenarios,Cost,39,,,,
01-Oct-22,Cloud Storage,Data Scenarios,Cost,38,,,,
02-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
03-Oct-22,Cloud Storage,Data Scenarios,Cost,38,,,,
04-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
05-Oct-22,Cloud Storage,Data Scenarios,Cost,30,,,,
06-Oct-22,Cloud Storage,Data Scenarios,Cost,38,,,,
07-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
08-Oct-22,Cloud Storage,Data Scenarios,Cost,37,,,,
09-Oct-22,Cloud Storage,Data Scenarios,Cost,34,,,,
10-Oct-22,Cloud Storage,Data Scenarios,Cost,37,,,,
11-Oct-22,Cloud Storage,Data Scenarios,Cost,34,,,,
12-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
13-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
14-Oct-22,Cloud Storage,Data Scenarios,Cost,35,,,,
15-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
16-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
17-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
18-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
19-Oct-22,Cloud Storage,Data Scenarios,Cost,33,,,,
20-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
21-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
22-Oct-22,Cloud Storage,Data Scenarios,Cost,32,,,,
23-Oct-22,Cloud Storage,Data Scenarios,Cost,34,,,,
24-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
25-Oct-22,Cloud Storage,Data Scenarios,Cost,37,,,,
26-Oct-22,Cloud Storage,Data Scenarios,Cost,31,,,,
27-Oct-22,Cloud Storage,Data Scenarios,Cost,36,,,,
28-Oct-22,Cloud Storage,Data Scenarios,Cost,36,,,,
29-Oct-22,Cloud Storage,Data Scenarios,Cost,35,,,,
30-Oct-22,Cloud Storage,Data Scenarios,Cost,40,,,,
31-Oct-22,Cloud Storage,Data Scenarios,Cost,39,,,,
01-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
02-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
03-Nov-22,Cloud Storage,Data Scenarios,Cost,39,,,,
04-Nov-22,Cloud Storage,Data Scenarios,Cost,32,,,,
05-Nov-22,Cloud Storage,Data Scenarios,Cost,11,,,,
06-Nov-22,Cloud Storage,Data Scenarios,Cost,37,,,,
07-Nov-22,Cloud Storage,Data Scenarios,Cost,40,,,,
08-Nov-22,Cloud Storage,Data Scenarios,Cost,31,,,,
09-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
10-Nov-22,Cloud Storage,Data Scenarios,Cost,31,,,,
11-Nov-22,Cloud Storage,Data Scenarios,Cost,34,,,,
12-Nov-22,Cloud Storage,Data Scenarios,Cost,36,,,,
13-Nov-22,Cloud Storage,Data Scenarios,Cost,33,,,,
14-Nov-22,Cloud Storage,Data Scenarios,Cost,37,,,,
15-Nov-22,Cloud Storage,Data Scenarios,Cost,32,,,,
16-Nov-22,Cloud Storage,Data Scenarios,Cost,37,,,,
17-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
18-Nov-22,Cloud Storage,Data Scenarios,Cost,33,,,,
19-Nov-22,Cloud Storage,Data Scenarios,Cost,32,,,,
20-Nov-22,Cloud Storage,Data Scenarios,Cost,39,,,,
21-Nov-22,Cloud Storage,Data Scenarios,Cost,38,,,,
22-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
23-Nov-22,Cloud Storage,Data Scenarios,Cost,39,,,,
24-Nov-22,Cloud Storage,Data Scenarios,Cost,35,,,,
25-Nov-22,Cloud Storage,Data Scenarios,Cost,38,,,,
26-Nov-22,Cloud Storage,Data Scenarios,Cost,40,,,,
27-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
28-Nov-22,Cloud Storage,Data Scenarios,Cost,34,,,,
29-Nov-22,Cloud Storage,Data Scenarios,Cost,30,,,,
30-Nov-22,Cloud Storage,Data Scenarios,Cost,38,,,,
01-Dec-22,Cloud Storage,Data Scenarios,Cost,14,,,,
02-Dec-22,Cloud Storage,Data Scenarios,Cost,30,,,,
03-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
04-Dec-22,Cloud Storage,Data Scenarios,Cost,40,,,,
05-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
06-Dec-22,Cloud Storage,Data Scenarios,Cost,39,,,,
07-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
08-Dec-22,Cloud Storage,Data Scenarios,Cost,40,,,,
09-Dec-22,Cloud Storage,Data Scenarios,Cost,34,,,,
10-Dec-22,Cloud Storage,Data Scenarios,Cost,22,,,,
11-Dec-22,Cloud Storage,Data Scenarios,Cost,34,,,,
12-Dec-22,Cloud Storage,Data Scenarios,Cost,35,,,,
13-Dec-22,Cloud Storage,Data Scenarios,Cost,33,,,,
14-Dec-22,Cloud Storage,Data Scenarios,Cost,34,,,,
15-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
16-Dec-22,Cloud Storage,Data Scenarios,Cost,38,,,,
17-Dec-22,Cloud Storage,Data Scenarios,Cost,34,,,,
18-Dec-22,Cloud Storage,Data Scenarios,Cost,35,,,,
19-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
20-Dec-22,Cloud Storage,Data Scenarios,Cost,33,,,,
21-Dec-22,Cloud Storage,Data Scenarios,Cost,35,,,,
22-Dec-22,Cloud Storage,Data Scenarios,Cost,35,,,,
23-Dec-22,Cloud Storage,Data Scenarios,Cost,33,,,,
24-Dec-22,Cloud Storage,Data Scenarios,Cost,31,,,,
25-Dec-22,Cloud Storage,Data Scenarios,Cost,38,,,,
26-Dec-22,Cloud Storage,Data Scenarios,Cost,40,,,,
27-Dec-22,Cloud Storage,Data Scenarios,Cost,39,,,,
28-Dec-22,Cloud Storage,Data Scenarios,Cost,32,,,,
29-Dec-22,Cloud Storage,Data Scenarios,Cost,36,,,,
30-Dec-22,Cloud Storage,Data Scenarios,Cost,39,,,,
31-Dec-22,Cloud Storage,Data Scenarios,Cost,36,,,,
01-Jan-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
02-Jan-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
03-Jan-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
04-Jan-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
05-Jan-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
06-Jan-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
07-Jan-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
08-Jan-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
09-Jan-23,Cloud Storage,Data Scenarios,Cost,39,,,,
10-Jan-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
11-Jan-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
12-Jan-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
13-Jan-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
14-Jan-23,Cloud Storage,Data Scenarios,Cost,52,,,,
15-Jan-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
16-Jan-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
17-Jan-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
18-Jan-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
19-Jan-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
20-Jan-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
21-Jan-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
22-Jan-23,Cloud Storage,Data Scenarios,Cost,52,,,,
23-Jan-23,Cloud Storage,Data Scenarios,Cost,39,,,,
24-Jan-23,Cloud Storage,Data Scenarios,Cost,39,,,,
25-Jan-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
26-Jan-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
27-Jan-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
28-Jan-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
29-Jan-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
30-Jan-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
31-Jan-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
01-Feb-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
02-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
03-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
04-Feb-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
05-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
06-Feb-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
07-Feb-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
08-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
09-Feb-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
10-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
11-Feb-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
12-Feb-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
13-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
14-Feb-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
15-Feb-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
16-Feb-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
17-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
18-Feb-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
19-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
20-Feb-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
21-Feb-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
22-Feb-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
23-Feb-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
24-Feb-23,Cloud Storage,Data Scenarios,Cost,52,,,,
25-Feb-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
26-Feb-23,Cloud Storage,Data Scenarios,Cost,39,,,,
27-Feb-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
28-Feb-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
01-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
02-Mar-23,Cloud Storage,Data Scenarios,Cost,52,,,,
03-Mar-23,Cloud Storage,Data Scenarios,Cost,39,,,,
04-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
05-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
06-Mar-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
07-Mar-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
08-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
09-Mar-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
10-Mar-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
11-Mar-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
12-Mar-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
13-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
14-Mar-23,Cloud Storage,Data Scenarios,Cost,52,,,,
15-Mar-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
16-Mar-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
17-Mar-23,Cloud Storage,Data Scenarios,Cost,39,,,,
18-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
19-Mar-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
20-Mar-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
21-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
22-Mar-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
23-Mar-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
24-Mar-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
25-Mar-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
26-Mar-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
27-Mar-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
28-Mar-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
29-Mar-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
30-Mar-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
31-Mar-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
01-Apr-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
02-Apr-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
03-Apr-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
04-Apr-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
05-Apr-23,Cloud Storage,Data Scenarios,Cost,39,,,,
06-Apr-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
07-Apr-23,Cloud Storage,Data Scenarios,Cost,39,,,,
08-Apr-23,Cloud Storage,Data Scenarios,Cost,52,,,,
09-Apr-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
10-Apr-23,Cloud Storage,Data Scenarios,Cost,39,,,,
11-Apr-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
12-Apr-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
13-Apr-23,Cloud Storage,Data Scenarios,Cost,52,,,,
14-Apr-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
15-Apr-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
16-Apr-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
17-Apr-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
18-Apr-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
19-Apr-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
20-Apr-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
21-Apr-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
22-Apr-23,Cloud Storage,Data Scenarios,Cost,52,,,,
23-Apr-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
24-Apr-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
25-Apr-23,Cloud Storage,Data Scenarios,Cost,44.2,,,,
26-Apr-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
27-Apr-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
28-Apr-23,Cloud Storage,Data Scenarios,Cost,52,,,,
29-Apr-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
30-Apr-23,Cloud Storage,Data Scenarios,Cost,52,,,,
01-May-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
02-May-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
03-May-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
04-May-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
05-May-23,Cloud Storage,Data Scenarios,Cost,52,,,,
06-May-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
07-May-23,Cloud Storage,Data Scenarios,Cost,52,,,,
08-May-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
09-May-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
10-May-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
11-May-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
12-May-23,Cloud Storage,Data Scenarios,Cost,40.3,,,,
13-May-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
14-May-23,Cloud Storage,Data Scenarios,Cost,39,,,,
15-May-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
16-May-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
17-May-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
18-May-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
19-May-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
20-May-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
21-May-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
22-May-23,Cloud Storage,Data Scenarios,Cost,39,,,,
23-May-23,Cloud Storage,Data Scenarios,Cost,52,,,,
24-May-23,Cloud Storage,Data Scenarios,Cost,49.4,,,,
25-May-23,Cloud Storage,Data Scenarios,Cost,41.6,,,,
26-May-23,Cloud Storage,Data Scenarios,Cost,50.7,,,,
27-May-23,Cloud Storage,Data Scenarios,Cost,52,,,,
28-May-23,Cloud Storage,Data Scenarios,Cost,42.9,,,,
29-May-23,Cloud Storage,Data Scenarios,Cost,52,,,,
30-May-23,Cloud Storage,Data Scenarios,Cost,39,,,,
31-May-23,Cloud Storage,Data Scenarios,Cost,46.8,,,,
01-Jun-23,Cloud Storage,Data Scenarios,Cost,48.1,,,,
02-Jun-23,Cloud Storage,Data Scenarios,Cost,45.5,,,,
